Id,Title,Price(Triệu/tháng),Square(m²),District,City,Date
41516,"Phòng cho thuê, mới xây, sạch đẹp, thoáng mát, an ninh.Dương Quảng Hàm, P6, Gò Vấp",1.9,14.0,Gò Vấp,Hồ Chí Minh,2015-04-20
42344,"Nhà trọ cho thuê. An ninh , sạch sẽ , yên tĩnh . Giá 3 tr / căn",3.0,35.0,Quận 8,Hồ Chí Minh,2016-03-20
43329,"CHO THUÊ PHÒNG TRỌ SINH VIÊN, NHÂN VIÊN VĂN PHÒNG (NỮ) GIÁ RẺ",,20.0,Gò Vấp,Hồ Chí Minh,2018-03-17
43619,Cho thuê phòng ở Tân Bình  Cô Huệ 0972 866 099,3.0,25.0,Tân Bình,Hồ Chí Minh,2017-07-04
43839,CHO THUÊ PHÒNG GIÁ THỎA THUẬN,2.6,16.0,Tân Bình,Hồ Chí Minh,2019-02-26
43977,CHO THUÊ PHÒNG Ở TRUNG TÂM QUẬN 3,2.0,15.0,Quận 3,Hồ Chí Minh,2015-10-28
44086,Cho thue phong tro,1.8,20.0,Tân Bình,Hồ Chí Minh,2017-05-02
44143,"Phòng cho thuê cực đẹp ở quận 8 (dưới cầu Nguyễn Văn Cừ,giáp Quận 1)",,20.0,Quận 8,Hồ Chí Minh,2014-09-10
44180,"CHO THUÊ PHÒNG TRỌ MỚI, ĐẸP, GIÁ RẺ QUẬN BÌNH TÂN",2.0,25.0,Bình Tân,Hồ Chí Minh,2018-04-14
44228,"Cho thuê phòng đường Phạm Văn Đồng, Bình Thạnh giá 3tr500 30m2",3.5,30.0,Bình Thạnh,Hồ Chí Minh,2020-05-10
44248,Cho thuê P.trọ P.BTĐ B Q.BTan từ 1.65 tr,1.65,16.0,Bình Tân,Hồ Chí Minh,2018-04-04
44502,"Cho thuê phòng trọ 917 Âu Cơ, Tân Bình",1.6,14.0,Tân Bình,Hồ Chí Minh,2015-07-21
44585,"Cho thuê phòng Lầu 02, 69/36 Hồ Thị Kỷ, P1, quận 10.",2.0,15.0,Quận 10,Hồ Chí Minh,2015-11-06
44712,"Cho thuê phòng trọ sạch sẽ, thoáng mát",2.4,24.0,Quận 7,Hồ Chí Minh,2015-05-04
45272,"Cho thuê phòng nhà lầu mới đẹp, an ninh, sạch sẽ",1.7,12.0,Tân Bình,Hồ Chí Minh,2016-07-11
45439,"cho thue phong tro Quan Tân Phú ngay gần BigC Tân Phú, TP.HCM",2.0,30.0,Tân Phú,Hồ Chí Minh,2016-07-02
45635,cho thuê nhà nguyên căn Q1,,30.0,Quận 1,Hồ Chí Minh,2020-06-10
45668,Phòng trọ cho sinh viên thuê quận Gò Vấp,1.4,15.0,Gò Vấp,Hồ Chí Minh,2015-08-13
46534,Cho nữ thuê phòng,2.0,30.0,Gò Vấp,Hồ Chí Minh,2014-09-25
46756,"Phòng trọ cho sinh viên thuê quận Gò Vấp- giá 1,3 triệu",1.000003,15.0,Gò Vấp,Hồ Chí Minh,2015-08-13
47028,CHO THUÊ PHÒNG TRỌ QUẬN BÌNH THẠNH ĐƯỜNG D3,3.3,28.0,Bình Thạnh,Hồ Chí Minh,2016-05-26
47036,CHO NHÂN VIÊN VĂN PHÒNG THUÊ  ĐƯỜNG D3,3.3,28.0,Bình Thạnh,Hồ Chí Minh,2016-05-27
47296,"Cho thuê phòng trọ, 02 Nữ, gần Bảy Hiền, Q.Tân Bình, Giá 1,5Tr",1.5,12.0,Tân Bình,Hồ Chí Minh,2015-07-14
47456,"CHO NỮ THUÊ PHÒNG NGAY NGÃ TƯ HÀNG XANH , GẦN CỔNG TRƯỜNG HUTECH",2.2,25.0,Bình Thạnh,Hồ Chí Minh,2016-03-12
47581,Cho thuê phòng CHÍNH CHỦ,2.5,20.0,Tân Bình,Hồ Chí Minh,2014-08-24
47655,"Phòng trọ mặt tiền đường Nguyễn Du, quận Gò Vấp, gần trường ĐH Công nghiệp, chợ Gò Vấp!!!",3.5,22.0,Gò Vấp,Hồ Chí Minh,2015-11-15
47867,"Cho thuê nhà & phòng đường Nguyễn Trãi, quận 1",2.5,23.0,Quận 1,Hồ Chí Minh,2020-05-13
48238,CHO THUE PHONG TRO LON,3.5,40.0,Tân Bình,Hồ Chí Minh,2015-07-24
48244,CHO CAP VO CHONG CNV CO EM BE THUE PHONG O,3.5,40.0,Tân Bình,Hồ Chí Minh,2015-07-24
48288,"Phòng thuê cho SV giá rẻ, khu bộ đội hưu trí an ninh yên tĩnh, [Q. Bình Thạnh]",1.7,12.0,Bình Thạnh,Hồ Chí Minh,2015-09-06
48621,Phòng gần ngã tư Lạc Long Quân - Âu Cơ,2.0,20.0,Tân Bình,Hồ Chí Minh,2015-04-22
48741,Cho thuê phòng quận Bình Thạnh,,20.0,Bình Thạnh,Hồ Chí Minh,2014-12-21
48883,cho sinh vien thue phong,1.2,25.0,Gò Vấp,Hồ Chí Minh,2015-11-03
48898,"Cho Thuê Phòng Nguyên Căn Mới Xây, Đường Tô Ký Hóc Môn, Gần Công Viên Phần Mềm Quang Trung",2.0,20.0,Hóc Môn,Hồ Chí Minh,2016-03-25
49492,"1.5tr / phòng trọ, yên tỉnh, giờ giấc tự do,",1.5,12.0,Tân Bình,Hồ Chí Minh,2017-04-21
49593,"Phòng cho thuê đường 3 tháng 2, nhiều phòng đẹp, máy lạnh, giờ tự do",3.0,18.0,Quận 10,Hồ Chí Minh,2022-06-07
49802,Cho thuê phòng sạch sẽ,1.8,15.0,Tân Phú,Hồ Chí Minh,2018-11-23
49942,Cho thuê phòng quận 4 (đã thuê),2.0,12.0,Quận 4,Hồ Chí Minh,2015-11-25
50705,Cho nữ thuê phòng trọ cao cấp 36m2,4.5,35.0,Quận 10,Hồ Chí Minh,2021-02-24
50716,Cho Sinh Viên thuê trọ  Có tuyến xe bus 99 trước cổng  LH 0901 378 994 hoặc 0165 4260 659,1.0,12.0,Quận 9,Hồ Chí Minh,2018-03-04
50740,"Phong May lanh, giuong nem, wifi gia 1tr6",1.6,6.0,Bình Thạnh,Hồ Chí Minh,2018-10-09
50789,"CHO THUÊ PHÒNG TRỌ, KHU DÂN CƯ ĐỒNG DIỀU, MỚI XÂY, SẠCH ĐẸP, THOÁNG MÁT, AN NINH, TẠI QUẬN 8",3.0,20.0,Quận 8,Hồ Chí Minh,2018-03-10
50790,"NHÀ 3 TẦNG, KHU DÂN CƯ ĐỒNG DIỀU, MỚI XÂY, SẠCH ĐẸP, THOÁNG MÁT, AN NINH, TẠI QUẬN 8",2.0,20.0,Quận 8,Hồ Chí Minh,2018-04-05
50791,"NHÀ 3 TẦNG, KHU DÂN CƯ ĐỒNG DIỀU, SỐ15 ĐƯỜNG 232 CAO LỖ,P4,Q8, THOÁNG MÁT, TẠI QUẬN 8",3.0,20.0,Quận 8,Hồ Chí Minh,2018-03-10
50792,"NHÀ 3 TẦNG ,CHO THUÊ PHÒNG TRỌ Ở SỐ15 ĐƯỜNG 232 CAO LỖ,P4,Q8 GẦN ĐH CÔNG NGHỆ SÀI GÒN",2.0,20.0,Quận 8,Hồ Chí Minh,2017-10-10
50793,"CHO THUÊ PHÒNG TRỌ Ở SỐ15 ĐƯỜNG 232 CAO LỖ,P4,Q8 KHU DÂN CƯ ĐỒNG DIỀU, SẠCH ĐẸP, THOÁNG MÁT",3.0,20.0,Quận 8,Hồ Chí Minh,2018-03-10
51008,"Nhà trọ mới xây đẹp . KV cao ráo , sạch sẽ , rất an ninh , yên tĩnh . Giá 3tr/căn",3.0,30.0,Quận 8,Hồ Chí Minh,2017-03-30
51456,"CHO THUÊ PHÒNG ĐẸP,TIỆN NGHI ĐẦY ĐỦ NỘI Thất",4.5,20.0,Bình Thạnh,Hồ Chí Minh,2024-06-23
51537,"Phòng cho thuê gần CMT8_Phạm Văn Hai, nhiều phòng, an ninh, yên tĩnh",2.2,18.0,Tân Bình,Hồ Chí Minh,2020-05-17
51567,"Cho thuê Phòng sạch đẹp  Tạ Quang Bửu Q8 gần chợ, bệnh viện , ĐH công nghệ sài gòn",,25.0,Quận 8,Hồ Chí Minh,2017-09-09
51810,Cho Thuê Phòng Quận Phú Nhuận,3.2,18.0,Phú Nhuận,Hồ Chí Minh,2014-09-08
52194,Cho thuê phòng trọ gần siêu thị Big C - Padora Tân Phú,1.9,21.0,Tân Phú,Hồ Chí Minh,2015-09-07
52261,Nha nguyen can DEP ngay sat duong Trần Khắc Chân_Quận 1,5.0,50.0,Quận 1,Hồ Chí Minh,2015-12-07
53078,"Phòng cho thuê 16m2, giờ tự do, Trần Bình Trọng_Q.Bình Thạnh",2.7,18.0,Bình Thạnh,Hồ Chí Minh,2022-07-06
53555,CHO THUÊ PHÒNG TRỌ NỮ,1.2,16.0,Quận 9,Hồ Chí Minh,2017-09-08
53893,"Phong tien nghi: tivi, quat, giuong nem, wifi, cap free, gia 1tr3",1.3,8.0,Bình Thạnh,Hồ Chí Minh,2015-03-01
53997,Cho Thuê Phòng (Nữ),1.6,20.0,Bình Thạnh,Hồ Chí Minh,2015-04-22
55640,"NHÀ 3 TẦNG, KHU DÂN CƯ ĐỒNG DIỀU, MỚI XÂY, SẠCH ĐẸP, THOÁNG MÁT, AN NINH, TẠI QUẬN 8",2.0,20.0,Quận 8,Hồ Chí Minh,2018-01-11
56626,"Phòng trọ cho thuê giá 2 triệu/tháng ở Quận 2, TP. HCM",2.0,18.0,Quận 2,Hồ Chí Minh,2017-06-27
57071,CHO THUÊ NHÀ TRỌ CÓ GÁC LỬNG HẺM C4 ĐƯỜNG PHẠM HÙNG ĐỐI DIỆN NHÀ SÁCH NGUYỄN VĂN CỪ,1.8,32.0,Quận 8,Hồ Chí Minh,2016-03-11
57515,"Phòng cho thuê ngã tư Bảy Hiền, gần BV Thống Nhất",2.3,24.0,Tân Bình,Hồ Chí Minh,2022-03-17
57736,"Khu phòng trọ 100 phòng, phòng tắm vệ sinh riêng, vào ra tự do 24/24",1.2,17.0,Bình Thạnh,Hồ Chí Minh,2023-05-10
57773,"Cho thuê phòng trọ, 02 Nữ, gần Bảy Hiền, Q.Tân Bình, Giá 1,2Tr",1.1,10.0,Tân Bình,Hồ Chí Minh,2017-03-27
57811,Cho nữ thuê phòng trọ,2.0,18.0,Quận 3,Hồ Chí Minh,2018-10-18
58256,"Cho sinh viên RMIT,TDT  thuê phòng đầy đủ tiện nghi,sạch sẽ,an ninh",3.0,20.0,Quận 7,Hồ Chí Minh,2015-11-13
58274,"Cho thuê phòng ở mới xây đường D2, quận Bình Thạnh",1.7,22.0,Bình Thạnh,Hồ Chí Minh,2015-01-09
58496,Cho thuê phòng có thang máy máy lạnh nước nóng cáp quang....,,17.0,Tân Phú,Hồ Chí Minh,2015-06-08
58755,"CHO  THUÊ PHÒNG  Gần trung tâm khám bệnh Hòa Hảo, NHÀ MẶT TIỀN.NỬ",2.6,16.0,Quận 10,Hồ Chí Minh,2019-05-17
58982,"PHÒNG CHO THUÊ , PHÒNG ĐẸP , SẠCH SẼ , THOÁNG MÁT",1.6,10.0,Bình Thạnh,Hồ Chí Minh,2018-12-14
59041,PHÒNG CHO THUÊ SẠCH ĐẸP THOÁNG MÁT / CÓ GÁC LỬNG/ CÓ LỐI ĐI RIÊNG / CÓ CHỔ ĐỂ XE/ HỢP ĐỒNG LÂU DÀI.,2.5,17.0,Bình Thạnh,Hồ Chí Minh,2019-02-14
59280,cho thue Phong Quan Tan Phu,2.2,24.0,Tân Phú,Hồ Chí Minh,2014-08-28
59386,"CHO  NAM HOẶC NỮ THUÊ PHÒNG ĐI LÀM, ĐI HỌC GẦN ĐH BÁCH KHOA",2.0,12.0,Quận 10,Hồ Chí Minh,2023-11-27
59445,"Phong tien nghi: ML, TV, giuong nem, wifi free 1tr6",1.6,8.0,Bình Thạnh,Hồ Chí Minh,2015-07-15
59600,"PHÒNG ĐẸP, CÓ BAN CÔNG, CÓ CHỔ ĐỂ XE AN TOÀN,  QUẬN 10",2.0,16.0,Quận 10,Hồ Chí Minh,2016-01-04
59606,"25m2, CÓ TOILET, BỒN RỬA CHÉN VÀ CHỔ ĐỂ XE HOÀ HƯNG QUẬN 10",3.0,25.0,Quận 10,Hồ Chí Minh,2016-07-10
59740,"Phong May lanh, TL, giuong nem, cap wifi 2tr8",2.8,12.0,Bình Thạnh,Hồ Chí Minh,2018-09-26
59834,"Phong thoang mat, dien nuoc gia re, khu an ninh, gần chợ Tân Mỹ",2.0,25.0,Quận 7,Hồ Chí Minh,2019-05-23
60721,"cho thue phong tro co toilet, bep, gac",1.7,12.0,Quận 7,Hồ Chí Minh,2015-04-22
60724,Cho nam thuê phòng,1.8,15.0,Phú Nhuận,Hồ Chí Minh,2016-07-03
61214,"Room for foreigner rent, full facilities 240usd/month at Binh Thanh dist",5.0,35.0,Bình Thạnh,Hồ Chí Minh,2016-02-17
61248,"Cho thuê phòng trọ SV gần ngã tư Lạc Long Quân , Âu Cơ Q11",2.2,25.0,Quận 11,Hồ Chí Minh,2016-06-13
61546,"Cho thuê Phòng trọ Quận 10, nhà mới xây, diện tích 16m2, giá 2.600.000đ/tháng",2.6,16.0,Quận 10,Hồ Chí Minh,2015-07-31
61649,"Cho thuê phòng máy lạnh Q10, TP. HCM, 2 triệu/tháng",2.0,16.0,Quận 10,Hồ Chí Minh,2016-08-08
61837,Tuyễn 2 vợ chồng lớn tuổi về hưu giao trông coi nhà trọ SV,1.6,16.0,Tân Bình,Hồ Chí Minh,2019-04-20
61865,"can cho thue gap phong moi xay 100% gia re,BAO DIEN NUOC,tolet rieng",2.5,15.0,Bình Thạnh,Hồ Chí Minh,2015-05-09
62041,"cho thuê phòng, Có Máy lạnh . cửa sổ . giờ tự do,vệ sinh trong phòn .sau trường đua phú thọ",2.5,20.0,Quận 11,Hồ Chí Minh,2017-12-24
62551,"KHU PHÒNG 30M2 NGAY Giga Mall CÓ GÁC, RỘNG, LỊCH SỰ, Thủ đức",3.0,30.0,Thủ Đức,Hồ Chí Minh,2024-08-30
62552,cho thuê phòng trọ quận gò vấp đường phan văn trị,1.5,20.0,Gò Vấp,Hồ Chí Minh,2015-04-21
62716,"Phòng mới, thoáng mát, sạch sẽ ở Quận Bình Thạnh (Chỉ cho nữ thuê)",1.8,18.0,Bình Thạnh,Hồ Chí Minh,2015-07-13
62845,"PHÒNG TRỌ MỚI XÂY, ĐẸP, THOÁNG MÁT, AN NINH, MẶT TIỀN LÊ TRỌNG TẤN - KCN TÂN BÌNH",1.8,21.0,Tân Phú,Hồ Chí Minh,2015-04-10
62903,"cho thuê phòng trọ ở đường Nguyễn Văn Nghi, Gò Vấp",2.5,25.0,Gò Vấp,Hồ Chí Minh,2015-09-26
63124,Nhà mặt tiền cho thuê nhiều phòng trọ,1.0,,Quận 6,Hồ Chí Minh,2016-04-13
63138,"Phòng cho nữ thuê đường Tạ Quang Bửu , P03, Quận 08",2.0,24.0,Quận 8,Hồ Chí Minh,2018-05-02
63704,CHO THUÊ PHONG,2.5,25.0,Tân Bình,Hồ Chí Minh,2015-02-18
63724,cho Nữ thuê phòng trọ giá rẻ gần cầu Nguyễn Văn Cừ,,9.0,Quận 8,Hồ Chí Minh,2022-05-16
64405,"CHO THUÊ PHÒNG SỐ 120/9 PHẠM VĂN BẠCH, F.15, Q.TÂN BÌNH",1.7,16.0,Tân Bình,Hồ Chí Minh,2014-11-12
64597,CHO NỮ THUÊ PHÒNG TRỌ ĐƯỜNG NGUYỄN VĂN LƯỢNG GÒ VẤP,1.7,20.0,Gò Vấp,Hồ Chí Minh,2014-12-09
64621,"CHO THUÊ PHÒNG NGAY Etown  CỘNG HÒA ĐẦY ĐỦ TIỆN NGHI,VỆ SINH TRONG PHÒNG GIỜ TỰ DO",2.3,16.0,Tân Bình,Hồ Chí Minh,2017-10-30
65121,Phòng trọ trệt mặt tiền đường nhựa rộng khu căn cứ 26,1.7,16.0,Gò Vấp,Hồ Chí Minh,2016-03-19
65243,"cho thue phong tro moi xay gia re,BAO DIEN NUOC",2.0,15.0,Bình Thạnh,Hồ Chí Minh,2015-02-27
65452,Nhà Trọ Văn Hóa Gió Nam,1.5,4.5,Quận 7,Hồ Chí Minh,2015-05-19
65936,"Phòng trọ cao cấp, có máy lạnh hầm để xe. Wifi nước nóng TH cáp free",2.0,12.0,Tân Phú,Hồ Chí Minh,2015-12-02
67100,Cho thue phong gia re 600 ngan/ 1nguoi,,60.0,Quận 10,Hồ Chí Minh,2016-10-03
67727,"Phòng cho thuê KDC an ninh, yên tĩnh",1.6,18.0,Gò Vấp,Hồ Chí Minh,2016-10-18
68062,thue phong tro gia re gan cong truong ngoai thuong .Lh 0934.858.883,2.8,40.0,Bình Thạnh,Hồ Chí Minh,2015-01-20
68272,CẦN NỮ Ở GHÉP,1.7,15.0,Gò Vấp,Hồ Chí Minh,2015-07-16
68588,"Cho thuê dãi phòng trọ nhà chính chủ ở Thống nhất ,Gò Vấp 20m2 ( 1,7 triệu), 37m2 có gát (2,2 triệu)",2.2,37.0,Gò Vấp,Hồ Chí Minh,2014-12-13
68590,"Cho thuê phòng trọ nhà chính chủ ở Thống nhất ,Gò Vấp 20m2 ( 1triệu7 )",1.7,21.0,Gò Vấp,Hồ Chí Minh,2014-12-13
